Min,Type ,Temperature,Humidity,Methane,Firmness,color ,fresh fruits (Day),Stage
1,Banana,29,93,227,364,green,fresh fruits (Day2),ripening process initate
2,Banana,29,93,230,364,green,fresh fruits (Day2),ripening process initate
3,Banana,29,93,238,364,green,fresh fruits (Day2),ripening process initate
4,Banana,29,93,240,303,green,fresh fruits (Day2),ripening process initate
5,Banana,29,94,243,303,green,fresh fruits (Day2),ripening process initate
6,Banana,29,94,243,303,green,fresh fruits (Day2),ripening process initate
7,Banana,29,94,245,300,green,fresh fruits (Day2),ripening process initate
8,Banana,29,95,249,300,green,fresh fruits (Day2),ripening process initate
9,Banana,29,95,248,300,green,fresh fruits (Day2),ripening process initate
10,Banana,29,95,248,300,green,fresh fruits (Day2),ripening process initate
11,Banana,29,95,249,337,green,fresh fruits (Day2),ripening process initate
12,Banana,29,95,250,337,green,fresh fruits (Day2),ripening process initate
13,Banana,29,95,253,338,green,fresh fruits (Day2),ripening process initate
14,Banana,29,95,254,338,green,fresh fruits (Day2),ripening process initate
15,Banana,29,95,255,339,green,fresh fruits (Day2),ripening process initate
16,Banana,29,95,256,339,green,fresh fruits (Day2),ripening process initate
17,Banana,29,95,258,339,green,fresh fruits (Day2),ripening process initate
18,Banana,29,95,258,339,green,fresh fruits (Day2),ripening process initate
19,Banana,29,95,259,339,green,fresh fruits (Day2),ripening process initate
20,Banana,29,95,300,339,green,fresh fruits (Day2),ripening process initate
21,Banana,29,95,320,339,green,fresh fruits (Day2),ripening process initate
22,Banana,29,95,324,340,green,fresh fruits (Day2),ripening process initate
23,Banana,29,95,324,341,green,fresh fruits (Day2),ripening process initate
24,Banana,29,95,324,345,green,fresh fruits (Day2),ripening process initate
25,Banana,29,95,325,400,green,fresh fruits (Day2),ripening process initate
26,Banana,29,95,326,405,green,fresh fruits (Day2),ripening process initate
27,Banana,29,95,327,410,green,fresh fruits (Day2),ripening process initate
28,Banana,29,95,328,422,green,fresh fruits (Day2),ripening process initate
29,Banana,29,95,329,426,green,fresh fruits (Day2),ripening process initate
30,Banana,29,95,400,430,green,fresh fruits (Day2),ripening process initate
31,Banana,29,95,401,433,green,fresh fruits (Day2),ripening process initate
32,Banana,29,95,406,433,green,fresh fruits (Day2),ripening process initate
33,Banana,29,95,408,435,green,fresh fruits (Day2),ripening process initate
34,Banana,29,95,410,440,green,fresh fruits (Day2),ripening process initate
35,Banana,29,95,413,443,green,fresh fruits (Day2),ripening process initate
36,Banana,29,95,444,450,green,fresh fruits (Day2),ripening process initate
37,Banana,29,95,421,456,green,fresh fruits (Day2),ripening process initate
38,Banana,29,95,364,460,green,fresh fruits (Day2),ripening process initate
39,Banana,29,95,364,460,green,fresh fruits (Day2),ripening process initate
40,Banana,29,95,364,460,green,fresh fruits (Day2),ripening process initate
